Rank,Release Group,Worldwide,Domestic,%,Foreign,%
"1,614",Only God Forgives 2020 Re-release,"$4,490",-,-,"$4,490",100%
"1,615",Leo Da Vinci: Mission Mona Lisa 2020 Re-release,"$4,471",-,-,"$4,471",100%
"1,616",Ivana the Terrible,"$4,345",-,-,"$4,345",100%
"1,617",The Jungle Book 2020 Re-release,"$4,329",-,-,"$4,329",100%
"1,618",El-Deccur,"$4,311",-,-,"$4,311",100%
"1,619",Geçerken Ugradim,"$4,286",-,-,"$4,286",100%
"1,620",Al Mallu,"$4,279",-,-,"$4,279",100%
"1,621",Murder on the Orient Express 2020 Re-release,"$4,270",-,-,"$4,270",100%
"1,622",Restaurant from the Sky,"$4,269",-,-,"$4,269",100%
"1,623","Loimata, The Sweetest Tears","$4,266",-,-,"$4,266",100%
"1,624",Perfect 10,"$4,198",-,-,"$4,198",100%
"1,625",Moffie,"$4,184",-,-,"$4,184",100%
"1,626",Surdina,"$4,128",-,-,"$4,128",100%
"1,627",Finding Jack Charlton,"$4,120",-,-,"$4,120",100%
"1,628",Dear Santa,"$4,109","$4,109",100%,-,-
"1,629",Matriarch,"$4,105",-,-,"$4,105",100%
"1,630",O Nosso Cônsul em Havana,"$4,077",-,-,"$4,077",100%
"1,631",Bi Mat Dao Linh Xa,"$4,071",-,-,"$4,071",100%
"1,632",Mathera,"$4,058",-,-,"$4,058",100%
"1,633",Dagaalty,"$4,016",-,-,"$4,016",100%
"1,634",The Mystery of D.B. Cooper,"$4,016",-,-,"$4,016",100%
"1,635",Robin Hood 2020 Re-release,"$4,015",-,-,"$4,015",100%
"1,636",Demons Hunter - ZhongKui: Nightmare,"$4,008",-,-,"$4,008",100%
"1,637",Skal dere gå allerede?,"$3,980",-,-,"$3,980",100%
"1,638",Exit Plan,"$3,955",-,-,"$3,955",100%
"1,639",Brock: Over the Top,"$3,954",-,-,"$3,954",100%
"1,640",Khaali Peeli,"$3,949",-,-,"$3,949",100%
"1,641",The Royal Exchange 2020 Re-release,"$3,933",-,-,"$3,933",100%
"1,642",Nocturnal,"$3,915",-,-,"$3,915",100%
"1,643",Qarakoz,"$3,885",-,-,"$3,885",100%
"1,644",King's Gambit,"$3,816","$3,816",100%,-,-
"1,645",Tupaia's Endeavour,"$3,814",-,-,"$3,814",100%
"1,646",Range Runners,"$3,811",-,-,"$3,811",100%
"1,647",The Terrorizers 2020 Re-release,"$3,804",-,-,"$3,804",100%
"1,648",7 ore per farti innamorare,"$3,757",-,-,"$3,757",100%
"1,649",Scream 2020 Re-release,"$3,722",-,-,"$3,722",100%
"1,650",Mary Poppins 2020 Re-release,"$3,680",-,-,"$3,680",100%
"1,651",Avengers: Age of Ultron 2020 Re-release,"$3,672",-,-,"$3,672",100%
"1,652",The Upside 2020 Re-release,"$3,663",-,-,"$3,663",100%
"1,653",Footloose 2020 Re-release,"$3,662",-,-,"$3,662",100%
"1,654",The Quarry,"$3,661",-,-,"$3,661",100%
"1,655",Respira: Transgenesis,"$3,640",-,-,"$3,640",100%
"1,656",Dating Amber,"$3,618",-,-,"$3,618",100%
"1,657",Candyman 2020 Re-release,"$3,587",-,-,"$3,587",100%
"1,658",Real,"$3,564",-,-,"$3,564",100%
"1,659",Rocky III 2020 Re-release,"$3,561",-,-,"$3,561",100%
"1,660",We Look Good in Death,"$3,511",-,-,"$3,511",100%
"1,661",Final Kill,"$3,511",-,-,"$3,511",100%
"1,662",Ready Player One 2020 Re-release,"$3,499",-,-,"$3,499",100%
"1,663",True Romance 2020 Re-release,"$3,486",-,-,"$3,486",100%
"1,664",Murder on the Orient Express 2020 Re-release,"$3,469",-,-,"$3,469",100%
"1,665",Rebuilding Paradise,"$3,414",-,-,"$3,414",100%
"1,666",Agnes,"$3,413",-,-,"$3,413",100%
"1,667",Ran 2020 Re-release,"$3,359",-,-,"$3,359",100%
"1,668",The Loss Adjuster,"$3,339",-,-,"$3,339",100%
"1,669",Sinamkol,"$3,330",-,-,"$3,330",100%
"1,670",Kind Hearts and Coronets 2020 Re-release,"$3,320",-,-,"$3,320",100%
"1,671",Jens Bjørneboe & det ondes problem,"$3,310",-,-,"$3,310",100%
"1,672",Farewell Restaurant,"$3,298",-,-,"$3,298",100%
"1,673",Matky,"$3,251",-,-,"$3,251",100%
"1,674",Sing 2020 Re-release,"$3,243",-,-,"$3,243",100%
"1,675",The Grand Budapest Hotel 2020 Re-release,"$3,239",-,-,"$3,239",100%
"1,676",The Steam Engines of Oz,"$3,205",-,-,"$3,205",100%
"1,677",Young-blooded Vine,"$3,204",-,-,"$3,204",100%
"1,678",Ferris Bueller's Day Off 2020 Re-release,"$3,192",-,-,"$3,192",100%
"1,679",India vs England,"$3,187",-,-,"$3,187",100%
"1,680",Raphael - Lord of the Arts 2020 Re-release,"$3,182",-,-,"$3,182",100%
"1,681",Ride Along 2 2020 Re-release,"$3,141",-,-,"$3,141",100%
"1,682",Goldfinger 2020 Re-release,"$3,133",-,-,"$3,133",100%
"1,683","Family Romance, LLC","$3,126",-,-,"$3,126",100%
"1,684",She Never Died,"$3,078",-,-,"$3,078",100%
"1,685",Tales of the Lockdown,"$3,078",-,-,"$3,078",100%
"1,686",Sententia,"$3,069",-,-,"$3,069",100%
"1,687",Planet of the Apes 2020 Re-release,"$3,061",-,-,"$3,061",100%
"1,688",Icarus. The Legend of Mietek Kosz,"$3,042",-,-,"$3,042",100%
"1,689",Bolshoi Ballet: Giselle,"$3,035",-,-,"$3,035",100%
"1,690",One Day Ahead,"$3,001",-,-,"$3,001",100%
"1,691",Pink or Bell,"$2,963",-,-,"$2,963",100%
"1,692",Mi pasión por David,"$2,958",-,-,"$2,958",100%
"1,693",13 Graves,"$2,938",-,-,"$2,938",100%
"1,694",Teacher and Stray Cat,"$2,906",-,-,"$2,906",100%
"1,695",Wonder 2020 Re-release,"$2,888",-,-,"$2,888",100%
"1,696",Il Regno,"$2,880",-,-,"$2,880",100%
"1,697",Taanashah,"$2,791",-,-,"$2,791",100%
"1,698",Body of Water,"$2,777",-,-,"$2,777",100%
"1,699",School of Seduction,"$2,764",-,-,"$2,764",100%
"1,700",Billy Elliot 2020 Re-release,"$2,755",-,-,"$2,755",100%
"1,701",Justice League 2020 Re-release,"$2,692",-,-,"$2,692",100%
"1,702",The Other Side,"$2,668",-,-,"$2,668",100%
"1,703","Amigo Skate, Cuba","$2,654","$2,654",100%,-,-
"1,704",All Must Die,"$2,650",-,-,"$2,650",100%
"1,705",Everything Will Not Be Fine,"$2,631",-,-,"$2,631",100%
"1,706",A Nightmare on Elm Street 2020 Re-release,"$2,624",-,-,"$2,624",100%
"1,707",Batman v Superman: Dawn of Justice 2020 Re-release,"$2,609",-,-,"$2,609",100%
"1,708","Sockeye Salmon, Red Fish","$2,599",-,-,"$2,599",100%
"1,709",Rockfield: The Studio on the Farm,"$2,597",-,-,"$2,597",100%
"1,710",Munthiri Monchan,"$2,568",-,-,"$2,568",100%
"1,711",A Impossibilidade de Estar Só,"$2,532",-,-,"$2,532",100%
"1,712",Shtetlers,"$2,530",-,-,"$2,530",100%
"1,713",The Avengers 2020 Re-release,"$2,527",-,-,"$2,527",100%
"1,714",Lynn + Lucy,"$2,518",-,-,"$2,518",100%
"1,715",Kritik,"$2,510",-,-,"$2,510",100%
"1,716",The Big Lebowski 2020 Re-release,"$2,496",-,-,"$2,496",100%
"1,717",Bend It Like Beckham 2020 Re-release,"$2,495",-,-,"$2,495",100%
"1,718",Oldboy,"$2,443",-,-,"$2,443",100%
"1,719",The Hateful Eight 2020 Re-release,"$2,393",-,-,"$2,393",100%
"1,720",True Mothers,"$2,371",-,-,"$2,371",100%
"1,721",Moondance,"$2,371","$2,371",100%,-,-
"1,722",Mission: Impossible - Rogue Nation 2020 Re-release,"$2,369",-,-,"$2,369",100%
"1,723",Yahan Sabhi Gyani Hain,"$2,368",-,-,"$2,368",100%
"1,724",Castle in the Sky 2020 Re-release,"$2,361",-,-,"$2,361",100%
"1,725",Králové videa,"$2,353",-,-,"$2,353",100%
"1,726",2177: The San Francisco Love Hacker Crimes,"$2,350",-,-,"$2,350",100%
"1,727",Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
"1,728",Curator,"$2,329",-,-,"$2,329",100%
"1,729",Enfant Terrible,"$2,326",-,-,"$2,326",100%
"1,730",Khatre Da Ghuggu,"$2,324",-,-,"$2,324",100%
"1,731",321 Action,"$2,319",-,-,"$2,319",100%
"1,732",Salvador Dali: In Search of Immortality,"$2,315",-,-,"$2,315",100%
"1,733",Goldie,"$2,302","$2,302",100%,-,-
"1,734",The Thing 2020 Re-release,"$2,293",-,-,"$2,293",100%
"1,735",Hurt by Paradise,"$2,238",-,-,"$2,238",100%
"1,736",Opera Australia: Madama Butterfly,"$2,214",-,-,"$2,214",100%
"1,737",North by Northwest 2020 Re-release,"$2,161",-,-,"$2,161",100%
"1,738",The Voice,"$2,154",-,-,"$2,154",100%
"1,739",A Yellow Animal,"$2,154",-,-,"$2,154",100%
"1,740",Georgetown,"$2,132",-,-,"$2,132",100%
"1,741",Stay Still,"$2,117",-,-,"$2,117",100%
"1,742",The Shade Shepherd,"$2,116","$2,116",100%,-,-
"1,743",Cat in the Wall,"$2,108",-,-,"$2,108",100%
"1,744",Cordelia,"$2,085",-,-,"$2,085",100%
"1,745",Sadak 2,"$2,073",-,-,"$2,073",100%
"1,746",That Obscure Object of Desire 2020 Re-release,"$2,055",-,-,"$2,055",100%
"1,747",The Shawshank Redemption 2020 Re-release,"$2,046",-,-,"$2,046",100%
"1,748",The Transcendents,"$2,041","$2,041",100%,-,-
"1,749",Gul Makai,"$2,035",-,-,"$2,035",100%
"1,750",Enter the Dragon 2020 Re-release,"$2,003",-,-,"$2,003",100%
"1,751",The World's End 2020 Re-release,"$1,984",-,-,"$1,984",100%
"1,752",Romeo + Juliet 2020 Re-release,"$1,937",-,-,"$1,937",100%
"1,753",What We Do in the Shadows 2020 Re-release,"$1,934",-,-,"$1,934",100%
"1,754",The Reports on Sarah and Saleem 2020 Re-release,"$1,925",-,-,"$1,925",100%
"1,755",Tales from the Rabbit Hole: A Curious Kitsch Novel,"$1,899",-,-,"$1,899",100%
"1,756",Where I Grow Old,"$1,892",-,-,"$1,892",100%
"1,757",Hungry Bear Tales,"$1,865",-,-,"$1,865",100%
"1,758",United Nation Three Decades of Drum & Bass,"$1,851",-,-,"$1,851",100%
"1,759",Bing's Christmas & Other Stories,"$1,831",-,-,"$1,831",100%
"1,760",Blockers 2020 Re-release,"$1,826",-,-,"$1,826",100%
"1,761",Evergreen,"$1,823","$1,823",100%,-,-
"1,762",Bridget Jones's Diary 2020 Re-release,"$1,806",-,-,"$1,806",100%
"1,763",Guest of Honour,"$1,780",-,-,"$1,780",100%
"1,764",Through the Fire 2020 Re-release,"$1,741",-,-,"$1,741",100%
"1,765",Breathless 2020 Re-release,"$1,725",-,-,"$1,725",100%
"1,766",Johnny English Strikes Again 2020 Re-release,"$1,723",-,-,"$1,723",100%
"1,767",Flatland,"$1,720",-,-,"$1,720",100%
"1,768",The Racer,"$1,692",-,-,"$1,692",100%
"1,769",An Affair to Remember 2020 Re-release,"$1,689",-,-,"$1,689",100%
"1,770",5 Minutes Too Late,"$1,683",-,-,"$1,683",100%
"1,771",Darkness,"$1,665",-,-,"$1,665",100%
"1,772",Psí láska,"$1,657",-,-,"$1,657",100%
"1,773",Dharala Prabhu,"$1,636",-,-,"$1,636",100%
"1,774",The Prisoner of Sakura,"$1,635",-,-,"$1,635",100%
"1,775",Frankenstein 2020 Re-release,"$1,626",-,-,"$1,626",100%
"1,776",Dead Volume,"$1,605",-,-,"$1,605",100%
"1,777",Back to the Future Part III 2020 Re-release,"$1,603",-,-,"$1,603",100%
"1,778",Above the Shadows,"$1,594",-,-,"$1,594",100%
"1,779",Fantastic Mr. Fox 2020 Re-release,"$1,583",-,-,"$1,583",100%
"1,780",The Fox Hunter,"$1,577","$1,577",100%,-,-
"1,781",The Nun 2020 Re-release,"$1,575",-,-,"$1,575",100%
"1,782",A German Life,"$1,509",-,-,"$1,509",100%
"1,783",Os Conselhos da Noite,"$1,488",-,-,"$1,488",100%
"1,784",Monty and the Street Party,"$1,479",-,-,"$1,479",100%
"1,785",The Matrix Reloaded 2020 Re-release,"$1,478",-,-,"$1,478",100%
"1,786",Totally Under Control,"$1,465",-,-,"$1,465",100%
"1,787",The World's Fastest Indian 2020 Re-release,"$1,448",-,-,"$1,448",100%
"1,788",Monty Python and the Holy Grail 2020 Re-release,"$1,447",-,-,"$1,447",100%
"1,789",BÚÉK 2020 Re-release,"$1,410",-,-,"$1,410",100%
"1,790",Maleficent 2020 Re-release,"$1,401",-,-,"$1,401",100%
"1,791",The Apartment 2020 Re-release,"$1,388",-,-,"$1,388",100%
"1,792",Father,"$1,371",-,-,"$1,371",100%
"1,793",Istasyon,"$1,357",-,-,"$1,357",100%
"1,794",Seized,"$1,321",-,-,"$1,321",100%
"1,795",Planeta 5000,"$1,303",-,-,"$1,303",100%
"1,796",Our Mothers,"$1,274",-,-,"$1,274",100%
"1,797",Rocky IV 2020 Re-release,"$1,269",-,-,"$1,269",100%
"1,798",The Thin Red Line 2020 Re-release,"$1,249",-,-,"$1,249",100%
"1,799",The Fare,"$1,243",-,-,"$1,243",100%
"1,800",National Theatre Live: A View from the Bridge 2020 Re-release,"$1,233",-,-,"$1,233",100%
"1,801",Fando and Lis,"$1,232",-,-,"$1,232",100%
"1,802",El navegante solitario,"$1,228",-,-,"$1,228",100%
"1,803",A Clockwork Orange 2020 Re-release,"$1,196",-,-,"$1,196",100%
"1,804",Thriller,"$1,188",-,-,"$1,188",100%
"1,805",DJ Snake: The Concert in Cinema,"$1,179",-,-,"$1,179",100%
"1,806",Bhangra Paa Le,"$1,177",-,-,"$1,177",100%
"1,807",The Father,"$1,171",-,-,"$1,171",100%
"1,808",Les enfants d'Isadora,"$1,160",-,-,"$1,160",100%
"1,809",Fear Pharm,"$1,157","$1,157",100%,-,-
"1,810",Patrulla 111,"$1,145",-,-,"$1,145",100%
"1,811",Fast & Furious 6 2020 Re-release,"$1,118",-,-,"$1,118",100%
"1,812",Patthelyzet,"$1,114",-,-,"$1,114",100%
"1,813",Predator 2020 Re-release,"$1,110",-,-,"$1,110",100%
"1,814",Hai Tang Hong,"$1,107","$1,107",100%,-,-
"1,815",Keep Me Company,"$1,097",-,-,"$1,097",100%
"1,816",Huracán,"$1,080",-,-,"$1,080",100%
"1,817",Oldboy,"$1,080",-,-,"$1,080",100%
"1,818",Muscle,"$1,078",-,-,"$1,078",100%
"1,819",Parallel Policy,"$1,070","$1,070",100%,-,-
"1,820",Nowhere,"$1,059",-,-,"$1,059",100%
"1,821",Wonders in the Suburbs,"$1,029",-,-,"$1,029",100%
"1,822",Bento Harassment,"$1,009",-,-,"$1,009",100%
"1,823",Rigoletto On The Lake,"$1,004",-,-,"$1,004",100%
"1,824",Dodes'ka-den,$981,-,-,$981,100%
"1,825",Bir Yalnizlik Sarkisi,$970,-,-,$970,100%
"1,826",Kiruna - A Brand New World,$962,-,-,$962,100%
"1,827",Willy Wonka & the Chocolate Factory 2020 Re-release,$949,-,-,$949,100%
"1,828",Takeover,$940,-,-,$940,100%
"1,829",Donzela Guerreira,$934,-,-,$934,100%
"1,830",Manor House,$927,-,-,$927,100%
"1,831",I Steal You From The Whole World,$903,-,-,$903,100%
"1,832",Network 2020 Re-release,$880,-,-,$880,100%
"1,833",Luxor,$879,-,-,$879,100%
"1,834",Socrates,$853,-,-,$853,100%
"1,835",Stealing Chaplin,$845,-,-,$845,100%
"1,836",My Friend Fela,$822,-,-,$822,100%
"1,837",Jurassic World 2020 Re-release,$807,-,-,$807,100%
"1,838",Time,$790,-,-,$790,100%
"1,839",Happy Feet Two 2020 Re-release,$779,-,-,$779,100%
"1,840",Hotchpotch Again 2020 Re-release,$769,-,-,$769,100%
"1,841",The Shepherd,$754,-,-,$754,100%
"1,842",M&M: The Mall The Merrier,$750,-,-,$750,100%
"1,843",A Seat at the Table,$745,-,-,$745,100%
"1,844",Neseika,$738,-,-,$738,100%
"1,845",Despicable Me 3 2020 Re-release,$722,-,-,$722,100%
"1,846",Lady Karuizawa,$699,-,-,$699,100%
"1,847",The Secret Life of Pets 2020 Re-release,$694,-,-,$694,100%
"1,848",Sator,$693,-,-,$693,100%
"1,849",The Third Man 2020 Re-release,$674,-,-,$674,100%
"1,850",The Prince,$663,-,-,$663,100%
"1,851",Up Up & Up,$658,-,-,$658,100%
"1,852",Peppa Pig: Festival of Fun,$654,-,-,$654,100%
"1,853",Para Além da Memória,$641,-,-,$641,100%
"1,854",Scent of My Daughter,$635,-,-,$635,100%
"1,855",That Click,$602,-,-,$602,100%
"1,856",Hellboy 2020 Re-release,$599,-,-,$599,100%
"1,857",Damascena,$594,-,-,$594,100%
"1,858",The Phantom of Liberty 2020 Re-release,$577,-,-,$577,100%
"1,859",Big Trouble in Little China 2020 Re-release,$577,-,-,$577,100%
"1,860",La protagonista,$560,-,-,$560,100%
"1,861",The NeverEnding Story 2020 Re-release,$554,-,-,$554,100%
"1,862",Street Leagues,$552,-,-,$552,100%
"1,863",Parade,$543,-,-,$543,100%
"1,864",Greater 2020 Re-release,$527,$527,100%,-,-
"1,865",Inner Ghosts,$522,-,-,$522,100%
"1,866",Scream 2 2020 Re-release,$503,-,-,$503,100%
"1,867",Kaviar,$501,-,-,$501,100%
"1,868",Happy Feet 2020 Re-release,$500,-,-,$500,100%
"1,869",Beyond The Visible - Hilma af Klint,$493,-,-,$493,100%
"1,870",Alva,$483,-,-,$483,100%
"1,871",The Man Who Fell to Earth 2020 Re-release,$474,-,-,$474,100%
"1,872",The Exorcist 2020 Re-release,$473,-,-,$473,100%
"1,873",The Fireflies Are Gone 2020 Re-release,$468,-,-,$468,100%
"1,874",Unbroken,$461,-,-,$461,100%
"1,875",The Takatsu River,$458,-,-,$458,100%
"1,876",Mean Girls 2020 Re-release,$448,-,-,$448,100%
"1,877",Simmba 2020 Re-release,$447,-,-,$447,100%
"1,878",Rogue One: A Star Wars Story 2020 Re-release,$447,-,-,$447,100%
"1,879",Dracula 2020 Re-release,$446,-,-,$446,100%
"1,880",Crackerjack 2020 Re-release,$431,-,-,$431,100%
"1,881",The Last Wave 2020 Re-release,$425,-,-,$425,100%
"1,882",The Wolf Man 2020 Re-release,$420,-,-,$420,100%
"1,883",Kerosin,$417,-,-,$417,100%
"1,884",Domingo,$411,-,-,$411,100%
"1,885",Howl's Moving Castle Studio Ghibli Fest 2020,$411,-,-,$411,100%
"1,886",Golden Voices,$409,-,-,$409,100%
"1,887",Angel Guts: Red Porno,$407,-,-,$407,100%
"1,888",Hôtel des Amériques,$406,-,-,$406,100%
"1,889",Chitty Chitty Bang Bang 2020 Re-release,$398,-,-,$398,100%
"1,890",School of Rock 2020 Re-release,$376,-,-,$376,100%
"1,891",You Only Live Twice 2020 Re-release,$375,-,-,$375,100%
"1,892",The Grandfather 2020 Re-release,$370,-,-,$370,100%
"1,893",Spaceship Earth,$362,-,-,$362,100%
"1,894",Andre Rieu's 2020 Maastricht Concert: Happy Together,$348,-,-,$348,100%
"1,895",Amy 2020 Re-release,$337,-,-,$337,100%
"1,896",Unfit: The Psychology of Donald Trump,$327,-,-,$327,100%
"1,897",White Lily,$319,-,-,$319,100%
"1,898",Raging Bull 2020 Re-release,$310,-,-,$310,100%
"1,899","Yes, God, Yes",$305,-,-,$305,100%
"1,900",Sonhámos Um País,$297,-,-,$297,100%
"1,901",Freakens,$296,-,-,$296,100%
"1,902",The Matrix Revolutions 2020 Re-release,$294,-,-,$294,100%
"1,903",One-way to Moscow,$294,-,-,$294,100%
"1,904",Creature from the Black Lagoon 2020 Re-release,$275,-,-,$275,100%
"1,905","Andrés Carrasco, Ciencia disruptiva",$264,-,-,$264,100%
"1,906",Lovers Are Wet,$259,-,-,$259,100%
"1,907",Scarface 2020 Re-release,$256,-,-,$256,100%
"1,908",Uno Más,$255,-,-,$255,100%
"1,909",Om Shanti Om 2020 Re-release,$249,-,-,$249,100%
"1,910",The Barefoot Emperor,$243,-,-,$243,100%
"1,911",The Man in the White Suit 2020 Re-release,$215,-,-,$215,100%
"1,912",Fellini Satyricon 2020 Re-release,$214,-,-,$214,100%
"1,913",The Devil Wears Prada 2020 Re-release,$213,-,-,$213,100%
"1,914",Asia,$207,-,-,$207,100%
"1,915",JT LeRoy,$205,-,-,$205,100%
"1,916",Psycho Goreman,$202,-,-,$202,100%
"1,917",The Servant 2020 Re-release,$199,-,-,$199,100%
"1,918",The Deep Blue Sea 2020 Re-release,$198,-,-,$198,100%
"1,919",Morocco 2020 Re-release,$191,-,-,$191,100%
"1,920",Kem Chho?,$181,-,-,$181,100%
"1,921",Laz Kit,$180,-,-,$180,100%
"1,922",SEED: The Untold Story 2020 Re-release,$172,-,-,$172,100%
"1,923",This Is Not a Movie,$165,-,-,$165,100%
"1,924",The Heiress 2020 Re-release,$158,-,-,$158,100%
"1,925",Beyond the Horizon,$152,-,-,$152,100%
"1,926",Derechos del hombre,$152,-,-,$152,100%
"1,927",Puerto Almanza,$150,-,-,$150,100%
"1,928",The house in Arguello,$149,-,-,$149,100%
"1,929",Zebra Life,$147,-,-,$147,100%
"1,930",Angela,$147,-,-,$147,100%
"1,931","Amor, Plástico e Barulho",$142,-,-,$142,100%
"1,932",Darling,$137,-,-,$137,100%
"1,933",Kiki's Delivery Service Studio Ghibli Fest 2020,$131,-,-,$131,100%
"1,934",Diary of a Chambermaid 2020 Re-release,$126,-,-,$126,100%
"1,935",Paddington 2 2020 Re-release,$122,-,-,$122,100%
"1,936",The Devil Is a Woman 2020 Re-release,$120,-,-,$120,100%
"1,937",Searching for Sugar Man 2020 Re-release,$115,-,-,$115,100%
"1,938",Diapason,$107,-,-,$107,100%
"1,939",The Clowns,$102,-,-,$102,100%
"1,940",Elementa,$101,-,-,$101,100%
"1,941",Rezo 2020 Re-release,$101,-,-,$101,100%
"1,942",Brothers 2020 Re-release,$100,-,-,$100,100%
"1,943",Fists of Righteous Harmony,$95,-,-,$95,100%
"1,944",We're No Angels,$94,-,-,$94,100%
"1,945",Pappa pia,$92,-,-,$92,100%
"1,946",Avatar 2020 Re-release,$92,-,-,$92,100%
"1,947",Billy Liar 2020 Re-release,$87,-,-,$87,100%
"1,948",The Whiskey Bandit 2020 Re-release,$82,-,-,$82,100%
"1,949",Opera Australia: Aida,$80,-,-,$80,100%
"1,950",Superman 2020 Re-release,$78,-,-,$78,100%
"1,951",Ice Station Zebra,$76,-,-,$76,100%
"1,952",A Chef's Voyage,$75,-,-,$75,100%
"1,953",A Dramatic Film,$73,-,-,$73,100%
"1,954",Ma 2020 Re-release,$72,-,-,$72,100%
"1,955",Casa Grande 2020 Re-release,$71,-,-,$71,100%
"1,956",October Sky 2020 Re-release,$68,-,-,$68,100%
"1,957",Darkest Hour 2020 Re-release,$67,-,-,$67,100%
"1,958",Destination Wedding 2020 Re-release,$60,-,-,$60,100%
"1,959",The Australian Ballet: Spartacus,$57,-,-,$57,100%
"1,960",The Scarlet Empress 2020 Re-release,$54,-,-,$54,100%
"1,961",Thunderball 2020 Re-release,$43,-,-,$43,100%
"1,962",Great Performances at the Met: Met Opera: Tosca,$41,-,-,$41,100%
"1,963",The Prime of Miss Jean Brodie,$30,-,-,$30,100%
"1,964",Santikhiri Sonata,$28,-,-,$28,100%
"1,965",Antrum: The Deadliest Film Ever Made,$26,-,-,$26,100%
"1,966",Flamingo,$21,-,-,$21,100%
"1,967",Up 2020 Re-release,$20,-,-,$20,100%
"1,968",Luz: The Flower of Evil,$19,-,-,$19,100%
"1,969",Deep 2020 Re-release,$15,-,-,$15,100%
"1,970",Time Freak 2020 Re-release,$12,-,-,$12,100%
"1,971",The Post 2020 Re-release,$10,-,-,$10,100%
"1,972",Eva,$10,-,-,$10,100%
"1,973",Before Everest,$9,-,-,$9,100%
"1,974",Stalker 2020 Re-release,$9,-,-,$9,100%
"1,975",Solaris 2020 Re-release,$6,-,-,$6,100%
